Dynasty,Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, G2
20,遷,20,0.08,5818,0.19,16.43
20,貧,16,0.07,516,0.02,20.64
20,孤,14,0.06,436,0.01,18.79
20,幼,16,0.07,532,0.02,19.92
20,兄,19,0.08,786,0.03,17.79
20,玄,26,0.11,538,0.02,51.65
20,訣,16,0.07,301,0.01,34.3
20,掖,9,0.04,201,0.01,16.76
20,駙,8,0.03,77,0.0,26.38
20,娼,5,0.02,17,0.0,25.58
20,乜,5,0.02,38,0.0,18.57
24,妻,159,0.76,899,0.04,610.84
24,女,1349,6.48,1,0.0,12622.13
24,皇,60,0.29,3596,0.16,16.7
24,后,43,0.21,1317,0.06,45.63
24,軍,30,0.14,8328,0.37,37.97
24,掠,46,0.22,1174,0.05,60.94
24,婦,189,0.91,688,0.03,869.36
24,家,76,0.36,3718,0.17,36.19
24,大,92,0.44,17740,0.79,38.58
24,樂,69,0.33,3073,0.14,40.06
24,月,50,0.24,18342,0.82,118.28
24,詔,12,0.06,4282,0.19,26.82
24,臣,47,0.23,9039,0.4,19.51
24,誡,6,0.03,39,0.0,21.6
24,妃,55,0.26,1065,0.05,96.29
24,政,16,0.08,4233,0.19,17.92
24,男,103,0.49,168,0.01,608.16
24,治,16,0.08,4224,0.19,17.82
24,宮,68,0.33,2417,0.11,58.42
24,河,28,0.13,7477,0.33,32.12
24,南,39,0.19,13882,0.62,86.72
24,鬻,26,0.12,120,0.01,109.02
24,子,280,1.34,14662,0.66,113.51
24,幼,29,0.14,487,0.02,57.43
24,父,99,0.48,2403,0.11,138.6
24,母,145,0.7,1829,0.08,356.14
24,士,44,0.21,8390,0.38,17.68
24,貨,10,0.05,164,0.01,20.19
24,殺,49,0.24,2647,0.12,18.35
24,年,132,0.63,33392,1.49,131.21
24,西,36,0.17,10538,0.47,51.86
24,天,43,0.21,8283,0.37,17.96
24,寶,35,0.17,1323,0.06,27.29
24,砫,7,0.03,31,0.0,29.85
24,土,50,0.24,2467,0.11,23.35
24,玉,36,0.17,1824,0.08,15.81
24,兵,47,0.23,11733,0.53,45.06
24,帝,40,0.19,11180,0.5,51.5
24,御,25,0.12,6119,0.27,22.69
24,正,28,0.13,8237,0.37,40.82
24,東,51,0.24,10419,0.47,26.37
24,江,33,0.16,6617,0.3,15.97
24,嘉,7,0.03,3597,0.16,30.95
24,牛,23,0.11,531,0.02,33.95
24,廣,18,0.09,4319,0.19,15.44
24,平,27,0.13,5689,0.25,15.51
24,北,18,0.09,6660,0.3,43.33
24,書,31,0.15,8177,0.37,34.44
24,左,14,0.07,3980,0.18,18.79
24,山,41,0.2,8898,0.4,25.94
24,黑,17,0.08,510,0.02,18.54
24,京,16,0.08,5687,0.25,35.47
24,衛,23,0.11,5504,0.25,19.58
24,兒,48,0.23,1131,0.05,69.36
24,氏,145,0.7,1592,0.07,390.36
24,右,11,0.05,4427,0.2,31.26
24,參,6,0.03,2371,0.11,16.46
24,人,372,1.79,18877,0.84,162.77
24,爲,134,0.64,2290,0.1,261.53
24,頭,20,0.1,744,0.03,16.0
24,手,20,0.1,677,0.03,18.48
24,溺,11,0.05,197,0.01,20.63
24,死,147,0.71,5815,0.26,106.21
24,室,45,0.22,586,0.03,108.1
24,議,8,0.04,4498,0.2,41.12
24,洪,13,0.06,4044,0.18,21.58
24,關,6,0.03,2455,0.11,17.6
24,攜,22,0.11,179,0.01,70.6
24,事,77,0.37,14449,0.65,29.07
24,仗,16,0.08,237,0.01,34.99
24,服,47,0.23,2085,0.09,27.5
24,導,20,0.1,596,0.03,22.0
24,蠶,12,0.06,89,0.0,40.44
24,訖,11,0.05,197,0.01,20.63
24,衣,48,0.23,1756,0.08,39.44
24,生,85,0.41,3203,0.14,66.61
24,親,36,0.17,1650,0.07,19.72
24,嬪,8,0.04,51,0.0,29.07
24,納,34,0.16,1667,0.07,16.11
24,主,67,0.32,3408,0.15,29.15
24,叔,17,0.08,300,0.01,32.29
24,兄,68,0.33,659,0.03,197.64
24,案,16,0.08,496,0.02,16.71
24,夫,79,0.38,1699,0.08,125.26
24,冊,34,0.16,690,0.03,57.0
24,姑,44,0.21,365,0.02,139.72
24,姊,27,0.13,34,0.0,169.83
24,妹,32,0.15,67,0.0,176.45
24,孫,83,0.4,2025,0.09,115.56
24,帛,13,0.06,353,0.02,16.03
24,聘,19,0.09,170,0.01,57.84
24,堂,27,0.13,697,0.03,35.31
24,請,24,0.12,6555,0.29,29.16
24,復,31,0.15,7914,0.35,31.59
24,婚,30,0.14,277,0.01,89.7
24,嫁,49,0.24,147,0.01,241.36
24,掌,50,0.24,1224,0.05,69.36
24,婿,18,0.09,112,0.01,66.16
24,舅,12,0.06,99,0.0,38.22
24,娶,21,0.1,71,0.0,99.22
24,師,10,0.05,4068,0.18,29.01
24,典,31,0.15,1425,0.06,16.88
24,哭,17,0.08,465,0.02,20.79
24,祖,68,0.33,3856,0.17,22.31
24,改,9,0.04,3660,0.16,26.09
24,孝,45,0.22,1673,0.07,36.04
24,妾,37,0.18,236,0.01,134.39
24,卒,21,0.1,4869,0.22,16.3
24,適,22,0.11,314,0.01,49.47
24,弟,91,0.44,1354,0.06,198.32
24,族,20,0.1,411,0.02,33.13
24,乳,9,0.04,69,0.0,29.81
24,甥,6,0.03,33,0.0,23.34
24,靖,5,0.02,3344,0.15,33.85
24,部,21,0.1,11024,0.49,96.28
24,侄,10,0.05,103,0.0,28.02
24,飾,12,0.06,244,0.01,20.08
24,學,18,0.09,4927,0.22,21.99
24,巡,8,0.04,5000,0.22,48.75
24,赴,23,0.11,960,0.04,15.11
24,藥,13,0.06,368,0.02,15.25
24,汙,13,0.06,92,0.0,44.87
24,辱,11,0.05,214,0.01,19.18
24,投,26,0.12,435,0.02,51.64
24,郎,8,0.04,4117,0.18,35.46
24,昂,13,0.06,244,0.01,23.41
24,樓,13,0.06,367,0.02,15.3
24,罪,12,0.06,3622,0.16,18.58
24,卷,13,0.06,4985,0.22,33.61
24,烈,24,0.12,531,0.02,37.0
24,少,8,0.04,2917,0.13,18.69
24,鎮,9,0.04,3745,0.17,27.26
24,縊,16,0.08,184,0.01,41.81
24,裸,8,0.04,25,0.0,38.86
24,奪,28,0.13,1266,0.06,15.77
24,吏,8,0.04,3373,0.15,24.84
24,召,7,0.03,2703,0.12,18.35
24,奴,16,0.08,225,0.01,36.37
24,疏,8,0.04,3991,0.18,33.62
24,論,7,0.03,2514,0.11,15.86
24,婢,14,0.07,71,0.0,56.42
24,抱,15,0.07,148,0.01,43.13
24,井,25,0.12,509,0.02,41.78
24,總,14,0.07,3923,0.18,18.14
24,邊,7,0.03,2746,0.12,18.93
24,淫,16,0.08,174,0.01,43.34
24,屍,12,0.06,245,0.01,20.0
24,泣,15,0.07,352,0.02,21.77
24,刃,12,0.06,155,0.01,28.99
24,罵,13,0.06,314,0.01,18.3
24,娥,6,0.03,21,0.0,28.0
24,椎,9,0.04,25,0.0,45.48
