Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, G2
寡,23,0.07,1428,0.02,29.74
第,56,0.16,8243,0.09,13.81
官,96,0.28,42981,0.49,37.89
治,17,0.05,10761,0.12,19.77
產,91,0.26,1583,0.02,313.51
口,61,0.18,6368,0.07,36.22
奏,32,0.09,14985,0.17,14.94
校,58,0.17,6873,0.08,26.25
畜,20,0.06,904,0.01,35.78
引,12,0.03,7042,0.08,11.4
丁,58,0.17,8182,0.09,16.42
北,43,0.12,20185,0.23,20.26
紡,6,0.02,41,0.0,30.88
經,16,0.05,10736,0.12,21.53
望,11,0.03,6589,0.07,11.06
宗,73,0.21,28240,0.32,15.1
奴,30,0.09,3083,0.04,18.36
從,57,0.16,23095,0.26,14.76
廷,14,0.04,8646,0.1,15.27
穀,20,0.06,2028,0.02,12.56
種,19,0.05,1684,0.02,15.11
髡,7,0.02,134,0.0,22.91
合,12,0.03,8932,0.1,20.6
心,14,0.04,9493,0.11,19.33
屋,12,0.03,894,0.01,12.35
論,8,0.02,10025,0.11,37.48
罷,8,0.02,9421,0.11,33.71
婿,8,0.02,448,0.01,11.6
府,46,0.13,19646,0.22,15.01
爵,69,0.2,3521,0.04,110.04
級,70,0.2,1516,0.02,213.6
犯,13,0.04,9586,0.11,21.85
法,21,0.06,14844,0.17,32.01
士,62,0.18,29864,0.34,32.01
祭,7,0.02,5198,0.06,11.95
命,34,0.1,18474,0.21,25.89
阿,20,0.06,2006,0.02,12.82
衣,41,0.12,5409,0.06,14.13
江,31,0.09,16262,0.19,21.2
議,30,0.09,15085,0.17,17.91
狗,9,0.03,377,0.0,17.22
通,24,0.07,11970,0.14,13.95
氣,7,0.02,5292,0.06,12.44
藪,9,0.03,98,0.0,38.68
銀,32,0.09,3480,0.04,17.49
滎,10,0.03,446,0.01,18.11
魚,27,0.08,1490,0.02,39.76
牛,26,0.07,2859,0.03,13.89
侍,102,0.29,17272,0.2,14.46
婢,14,0.04,445,0.01,33.3
廢,8,0.02,5834,0.07,13.11
置,29,0.08,16973,0.19,27.36
祀,5,0.01,5179,0.06,16.76
陛,9,0.03,7562,0.09,20.07
匹,19,0.05,1779,0.02,13.78
貧,19,0.05,1651,0.02,15.6
髮,15,0.04,304,0.0,47.55
改,21,0.06,13803,0.16,26.86
開,72,0.21,9318,0.11,26.14
歷,8,0.02,5521,0.06,11.52
敗,7,0.02,7090,0.08,22.52
秋,9,0.03,6472,0.07,14.28
婕,7,0.02,135,0.0,22.81
妤,7,0.02,134,0.0,22.91
學,30,0.09,17243,0.2,26.9
密,13,0.04,8218,0.09,15.07
寇,6,0.02,5525,0.06,16.09
虜,30,0.09,1981,0.02,36.06
應,10,0.03,9014,0.1,25.72
粟,16,0.05,1540,0.02,11.06
散,32,0.09,3548,0.04,16.8
孤,24,0.07,1782,0.02,24.81
貞,31,0.09,3946,0.04,11.76
頭,28,0.08,2791,0.03,18.16
寧,20,0.06,10128,0.12,12.22
戊,6,0.02,5279,0.06,14.7
祿,44,0.13,5271,0.06,19.41
午,6,0.02,5236,0.06,14.46
增,5,0.01,4362,0.05,12.04
關,11,0.03,6797,0.08,12.01
舊,8,0.02,8159,0.09,26.07
字,9,0.03,8197,0.09,23.62
集,15,0.04,8073,0.09,11.1
殤,8,0.02,138,0.0,27.68
鰥,17,0.05,112,0.0,88.63
斛,13,0.04,598,0.01,22.89
辰,5,0.01,6443,0.07,24.54
悌,12,0.03,237,0.0,38.6
占,16,0.05,1504,0.02,11.53
癃,11,0.03,37,0.0,70.46
考,5,0.01,4483,0.05,12.72
邴,6,0.02,93,0.0,21.93
孕,6,0.02,53,0.0,28.08
娶,16,0.05,412,0.0,43.91
執,5,0.01,6445,0.07,24.56
驅,17,0.05,1044,0.01,22.26
直,15,0.04,10300,0.12,21.35
遷,27,0.08,13132,0.15,14.41
掠,31,0.09,2150,0.02,35.05
巡,6,0.02,6822,0.08,23.78
諫,5,0.01,5403,0.06,18.11
檢,48,0.14,6066,0.07,18.55
駝,7,0.02,259,0.0,14.84
壬,5,0.01,5271,0.06,17.31
廟,6,0.02,7425,0.08,27.52
惟,7,0.02,6068,0.07,16.64
策,5,0.01,4260,0.05,11.47
報,6,0.02,4622,0.05,11.12
俘,16,0.05,715,0.01,28.92
勣,9,0.03,360,0.0,17.91
擒,19,0.05,1556,0.02,17.09
紫,31,0.09,2060,0.02,36.97
乙,8,0.02,5856,0.07,13.22
毗,6,0.02,192,0.0,14.2
汗,12,0.03,791,0.01,14.45
邠,12,0.03,624,0.01,18.78
僧,17,0.05,1458,0.02,14.25
希,6,0.02,6185,0.07,19.94
柱,43,0.12,1153,0.01,114.96
袋,21,0.06,222,0.0,91.4
典,6,0.02,4659,0.05,11.31
鎮,11,0.03,9081,0.1,23.64
副,8,0.02,8432,0.1,27.69
曆,6,0.02,5301,0.06,14.82
卷,9,0.03,20247,0.23,102.31
討,6,0.02,5171,0.06,14.1
釗,5,0.01,138,0.0,13.11
頡,9,0.03,301,0.0,20.62
椎,12,0.03,130,0.0,51.69
髻,5,0.01,82,0.0,17.76
跣,6,0.02,95,0.0,21.69
梃,6,0.02,95,0.0,21.69
